datetime,wavelengths,mean,std,max,min
20200101010021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[28.171156, 19.210163, 13.617682, 0.659956, 2.752156, 0.748877, 0.47637, 2.774464, 7.602324, 13.088783, 39.35439, 37.557545, 69.22085, 79.29145, 87.70994, 79.86554]","[71.068855, 53.009712, 38.46162, 3.463629, 8.00774, 2.100123, 0.443328, 1.053155, 2.699502, 4.53714, 14.702641, 11.968159, 22.657501, 24.92089, 25.519058, 19.337189]","[804.0361, 628.6211, 372.8076, 63.395058, 95.06721, 30.098692, 8.983927, 6.547606, 16.292883, 24.413946, 63.395058, 60.14663, 103.18826, 116.18198, 125.927246, 109.68512]","[-0.761351, -1.573456, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101020021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[18.700567, 13.717395, 10.406793, 0.583709, 2.224109, 0.618402, 0.456465, 2.778771, 7.616574, 13.112888, 39.298115, 37.51659, 69.1544, 79.23107, 87.69196, 79.92453]","[64.64204, 50.645893, 38.670525, 3.724318, 8.444096, 2.265689, 0.435378, 1.047268, 2.681773, 4.506815, 14.601892, 11.888783, 22.486238, 24.725624, 25.30842, 19.163015]","[804.0361, 628.6211, 372.8076, 83.697716, 95.06721, 30.098692, 12.232351, 6.547606, 16.292883, 24.413946, 62.582947, 59.33453, 102.37616, 115.36986, 125.11514, 109.68512]","[-0.761351, -1.573456, -0.761351, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 5.7355, 8.17182, 10.608141, 14.668673]"
20200101030021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[10.900599, 8.526813, 6.957711, 0.550071, 1.576686, 0.471721, 0.440488, 2.780033, 7.62181, 13.125485, 39.24486, 37.47043, 69.07773, 79.172066, 87.663055, 79.9511]","[56.1061, 46.213715, 37.068226, 4.467287, 8.522077, 2.431652, 0.477855, 1.041565, 2.664882, 4.478272, 14.508417, 11.816236, 22.330116, 24.55318, 25.121979, 19.015612]","[804.0361, 628.6211, 372.8076, 131.61198, 95.06721, 30.098692, 18.729204, 6.547606, 16.292883, 24.413946, 63.395058, 63.395058, 102.37616, 115.36986, 125.11514, 109.68512]","[-0.761351, -2.385563, -0.761351, 0.050756, 0.050756, 0.050756, 0.050756, 0.050756, -0.761351, 0.862864, 2.487076, -1.573456, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101040021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[4.708268, 3.81798, 3.426911, 0.305898, 0.85549, 0.28942, 0.422607, 2.778664, 7.624362, 13.129129, 39.18047, 37.412094, 68.98922, 79.09914, 87.61175, 79.95232]","[37.773594, 32.27736, 28.09804, 3.38721, 6.970144, 2.118112, 0.564541, 1.035857, 2.649208, 4.449557, 14.412035, 11.738714, 22.176588, 24.379425, 24.938051, 18.86832]","[804.0361, 628.6211, 372.8076, 140.54517, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 24.413946, 62.582947, 59.33453, 101.56406, 115.36986, 125.11514, 108.87302]","[-0.761351, -1.573456, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101050021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[2.745456, 2.340491, 2.26305, 0.12021, 0.584533, 0.204645, 0.407235, 2.779668, 7.623986, 13.134478, 39.146767, 37.38128, 68.96341, 79.08165, 87.62652, 80.01262]","[26.654135, 23.897106, 23.278519, 1.186578, 5.885975, 1.748126, 0.427313, 1.029425, 2.633638, 4.42392, 14.31057, 11.664717, 22.013956, 24.199415, 24.74929, 18.728283]","[798.3513, 628.6211, 372.8076, 103.18826, 95.06721, 30.098692, 10.608141, 6.547606, 15.480776, 24.413946, 62.582947, 60.14663, 101.56406, 115.36986, 124.30304, 108.87302]","[-0.761351, -2.385563, 0.050756, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101060021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[5.209546, 4.419526, 4.08896, 0.177444, 1.000757, 0.30635, 0.412838, 2.7788, 7.622991, 13.139531, 39.146114, 37.37124, 68.99254, 79.11044, 87.6606, 80.069244]","[38.049706, 33.899456, 31.112997, 1.730011, 7.613471, 2.126226, 0.425834, 1.023928, 2.621919, 4.404011, 14.223716, 11.616652, 21.888004, 24.054724, 24.59777, 18.635006]","[777.2366, 628.6211, 372.8076, 113.74565, 95.06721, 30.098692, 8.983927, 6.547606, 15.480776, 24.413946, 62.582947, 60.14663, 101.56406, 115.36986, 124.30304, 108.87302]","[-0.761351, -4.009775, 0.050756, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 8.983927, 4.923395, 6.547606, 9.796034, 13.856565]"
20200101070021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[12.234648, 10.105788, 8.320842, 0.36583, 1.914601, 0.533778, 0.43473, 2.77548, 7.618442, 13.130502, 39.10098, 37.325146, 68.965576, 79.08176, 87.62804, 80.05873]","[59.432728, 52.150864, 42.44725, 2.494269, 9.906547, 2.61626, 0.516579, 1.021636, 2.613632, 4.392388, 14.179145, 11.590492, 21.843878, 24.00028, 24.542934, 18.614096]","[804.0361, 628.6211, 372.8076, 90.194565, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 24.413946, 62.582947, 60.14663, 101.56406, 115.36986, 124.30304, 108.87302]","[-0.761351, -1.573456, 0.050756, 0.050756, -3.197668, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.17182, 11.420244, 15.480776]"
20200101080021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[21.40523, 16.577389, 12.509282, 0.538134, 2.730222, 0.752393, 0.458184, 2.777349, 7.622311, 13.148306, 39.138573, 37.328163, 68.99806, 79.14105, 87.71759, 80.132324]","[73.34568, 61.04802, 45.49642, 2.769659, 10.287006, 2.755083, 0.613515, 1.019972, 2.608824, 4.391098, 14.171525, 11.577433, 21.830345, 23.987259, 24.536467, 18.619587]","[804.0361, 628.6211, 372.8076, 73.95244, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 23.601843, 62.582947, 60.14663, 102.37616, 115.36986, 125.11514, 108.87302]","[-0.761351, -1.573456, 0.050756, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101090021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[30.512608, 21.376194, 15.303677, 0.860157, 3.050135, 0.849795, 0.456074, 2.777254, 7.627582, 13.164897, 39.23876, 37.37284, 69.17091, 79.33766, 87.91225, 80.26278]","[73.099396, 54.574303, 39.512196, 3.413121, 8.153724, 2.168572, 0.444167, 1.017214, 2.604054, 4.385994, 14.152605, 11.568272, 21.81641, 23.964413, 24.506712, 18.608976]","[590.4521, 628.6211, 372.8076, 71.51612, 95.06721, 30.098692, 4.923395, 6.547606, 15.480776, 23.601843, 62.582947, 60.14663, 102.37616, 115.36986, 125.11514, 108.87302]","[-0.761351, -1.573456, -0.761351, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101100021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[41.425507, 27.130575, 18.953728, 1.196638, 3.431001, 0.964145, 0.467636, 2.779652, 7.639728, 13.194112, 39.461647, 37.511192, 69.52832, 79.72497, 88.28631, 80.50327]","[77.42537, 54.58748, 37.57314, 4.136841, 6.857518, 1.93043, 0.417776, 1.014932, 2.600614, 4.380694, 14.161894, 11.590217, 21.841875, 23.973967, 24.49697, 18.60226]","[699.27435, 626.9969, 372.8076, 69.89191, 58.522415, 17.10499, 2.487076, 6.547606, 16.292883, 23.601843, 62.582947, 59.33453, 102.37616, 116.18198, 125.927246, 108.87302]","[-0.761351, -1.573456, -0.761351, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 5.7355, 8.17182, 11.420244, 15.480776]"
