datetime,wavelengths,mean,std,max,min,nans,nans_norm,nans_sum,nans_perc,nans_std
20200101010021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[28.17287, 19.230104, 13.662127, 0.659672, 2.759958, 0.751235, 0.477147, 2.773924, 7.605046, 13.086485, 39.350513, 37.555813, 69.217026, 79.28869, 87.70673, 79.86114]","[71.068054, 52.85272, 38.531075, 3.438498, 8.017944, 2.092299, 0.442828, 1.052948, 2.70278, 4.532534, 14.668101, 11.948503, 22.606428, 24.8642, 25.461857, 19.302092]","[804.0361, 628.6211, 372.8076, 62.582947, 95.06721, 30.098692, 8.983927, 6.547606, 16.292883, 24.413946, 63.395058, 60.14663, 103.18826, 116.18198, 125.927246, 109.68512]","[-0.761351, -0.761351, -3.197668, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.17182, 11.420244, 15.480776]","[25498063.0, 25505136.0, 25520635.0, 25538684.0, 25522773.0, 25539652.0, 25538612.0, 25538464.0, 25537832.0, 25537824.0, 25537668.0, 25540692.0, 25539204.0, 25540172.0, 25540344.0, 25537860.0]","[3569.0, 45.0, 4502.0, 1620.0, 5820.0, 2384.0, 1636.0, 1464.0, 868.0, 856.0, 628.0, 3472.0, 2240.0, 3204.0, 3376.0, 896.0]",36580.0,0.001942783316909007,12928.922105442269
20200101020021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[18.70143, 13.746138, 10.466713, 0.583549, 2.235877, 0.619873, 0.457277, 2.778264, 7.619448, 13.110726, 39.294167, 37.514626, 69.15042, 79.22781, 87.68839, 79.919685]","[64.644516, 50.588676, 38.811855, 3.69951, 8.470693, 2.256799, 0.4348, 1.047047, 2.685084, 4.502176, 14.567685, 11.869095, 22.43569, 24.669508, 25.251703, 19.12789]","[804.0361, 628.6211, 372.8076, 83.697716, 95.06721, 30.098692, 12.232351, 6.547606, 16.292883, 24.413946, 62.582947, 59.33453, 102.37616, 115.36986, 125.11514, 109.68512]","[-0.761351, -0.761351, -6.446094, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 6.547606, 8.17182, 11.420244, 15.480776]","[25497662.0, 25505148.0, 25519775.0, 25538220.0, 25521841.0, 25539124.0, 25538332.0, 25538420.0, 25537560.0, 25537616.0, 25537524.0, 25539860.0, 25538972.0, 25539940.0, 25539540.0, 25537860.0]","[3168.0, 57.0, 3642.0, 1156.0, 4888.0, 1856.0, 1356.0, 1420.0, 596.0, 648.0, 484.0, 2640.0, 2008.0, 2972.0, 2572.0, 896.0]",30359.0,0.0016123826877539789,12941.694531991358
20200101030021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[10.901764, 8.560375, 7.047772, 0.550558, 1.596436, 0.473241, 0.441478, 2.779574, 7.624657, 13.123324, 39.241802, 37.468918, 69.07411, 79.1692, 87.660614, 79.94628]","[56.112347, 46.302544, 37.411343, 4.44507, 8.598301, 2.424949, 0.476692, 1.041324, 2.66815, 4.473863, 14.474824, 11.796906, 22.280579, 24.49809, 25.066326, 18.980965]","[804.0361, 628.6211, 372.8076, 126.73935, 95.06721, 30.098692, 18.729204, 6.547606, 16.292883, 24.413946, 69.89191, 69.89191, 102.37616, 115.36986, 125.11514, 109.68512]","[-0.761351, -0.761351, -3.197668, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]","[25496786.0, 25505143.0, 25518615.0, 25537856.0, 25521264.0, 25538856.0, 25538200.0, 25538148.0, 25537716.0, 25543648.0, 25546428.0, 25539204.0, 25538240.0, 25538344.0, 25538896.0, 25537860.0]","[2292.0, 52.0, 2482.0, 792.0, 4311.0, 1588.0, 1224.0, 1148.0, 752.0, 6680.0, 9388.0, 1984.0, 1276.0, 1376.0, 1928.0, 896.0]",38169.0,0.0020271759547047536,13697.923321164417
20200101040021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[4.710412, 3.820999, 3.522161, 0.30742, 0.878851, 0.292564, 0.42376, 2.778204, 7.627339, 13.127078, 39.177536, 37.411137, 68.9865, 79.09672, 87.60966, 79.947754]","[37.784977, 32.416897, 28.635727, 3.377556, 7.103797, 2.124186, 0.564136, 1.035612, 2.652527, 4.445176, 14.378121, 11.719653, 22.126606, 24.32397, 24.882109, 18.833464]","[804.0361, 628.6211, 372.8076, 140.54517, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 24.413946, 62.582947, 59.33453, 101.56406, 115.36986, 125.11514, 108.87302]","[-0.761351, -0.761351, -0.761351, -0.761351, -1.573456, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]","[25495949.0, 25505134.0, 25517508.0, 25537480.0, 25519865.0, 25538556.0, 25538040.0, 25538008.0, 25537532.0, 25537340.0, 25537560.0, 25538052.0, 25537332.0, 25542860.0, 25543584.0, 25537864.0]","[1455.0, 43.0, 1375.0, 416.0, 2912.0, 1288.0, 1064.0, 1008.0, 568.0, 372.0, 520.0, 832.0, 368.0, 5892.0, 6616.0, 900.0]",25629.0,0.0013611698641077348,13602.570515347457
20200101050021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[2.747972, 2.29195, 2.341415, 0.122576, 0.603756, 0.209969, 0.40867, 2.779317, 7.627304, 13.132482, 39.1441, 37.380424, 68.96085, 79.07939, 87.62521, 80.008766]","[26.675056, 23.88228, 23.828272, 1.202561, 6.02192, 1.776202, 0.428584, 1.029182, 2.636906, 4.419476, 14.276466, 11.645145, 21.963608, 24.143682, 24.692707, 18.69317]","[804.0361, 628.6211, 372.8076, 105.624596, 95.06721, 30.098692, 9.796034, 6.547606, 15.480776, 24.413946, 62.582947, 60.14663, 101.56406, 115.36986, 124.30304, 108.87302]","[-0.761351, -0.761351, -0.761351, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]","[25495491.0, 25505205.0, 25517093.0, 25537336.0, 25519407.0, 25538272.0, 25537924.0, 25537912.0, 25537484.0, 25537272.0, 25537468.0, 25537720.0, 25537104.0, 25537136.0, 25538088.0, 25537860.0]","[997.0, 114.0, 960.0, 272.0, 2454.0, 1004.0, 948.0, 912.0, 520.0, 304.0, 428.0, 500.0, 140.0, 168.0, 1120.0, 896.0]",11737.0,0.0006233583321640519,13181.746078858445
20200101060021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[5.212466, 4.373015, 4.148904, 0.179971, 1.014854, 0.312559, 0.414328, 2.778382, 7.62637, 13.137497, 39.143948, 37.370487, 68.99061, 79.10915, 87.65907, 80.06604]","[38.060608, 33.776688, 31.419064, 1.729926, 7.687503, 2.149011, 0.426383, 1.02367, 2.625096, 4.399507, 14.188914, 11.59663, 21.83665, 23.99795, 24.540468, 18.599125]","[786.16974, 628.6211, 372.8076, 109.68512, 95.06721, 30.098692, 8.983927, 6.547606, 15.480776, 24.413946, 62.582947, 60.14663, 101.56406, 115.36986, 124.30304, 108.87302]","[-0.761351, -5.633988, -0.761351, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 8.983927, 4.923395, 6.547606, 9.796034, 13.856565]","[25495104.0, 25505219.0, 25516776.0, 25537256.0, 25518873.0, 25537612.0, 25537892.0, 25537888.0, 25537484.0, 25537252.0, 25537216.0, 25537532.0, 25537028.0, 25537056.0, 25537940.0, 25537860.0]","[610.0, 128.0, 643.0, 192.0, 1920.0, 344.0, 916.0, 888.0, 520.0, 284.0, 176.0, 312.0, 64.0, 88.0, 972.0, 896.0]",8953.0,0.00047549860678748883,13240.031441144693
20200101070021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[12.238713, 10.056437, 8.365515, 0.367746, 1.92405, 0.538674, 0.436095, 2.774998, 7.621871, 13.12845, 39.098503, 37.324066, 68.96258, 79.07948, 87.625496, 80.054405]","[59.437645, 51.96477, 42.597637, 2.484366, 9.938302, 2.617828, 0.51532, 1.021374, 2.616752, 4.38792, 14.144712, 11.570647, 21.793394, 23.94427, 24.486742, 18.579416]","[804.0361, 628.6211, 372.8076, 90.194565, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 24.413946, 62.582947, 60.14663, 101.56406, 115.36986, 124.30304, 108.87302]","[-0.761351, -0.761351, -12.130839, 0.050756, -3.197668, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.17182, 11.420244, 15.480776]","[25495027.0, 25505091.0, 25516700.0, 25537240.0, 25518377.0, 25538272.0, 25537236.0, 25537216.0, 25537224.0, 25537224.0, 25537216.0, 25538308.0, 25537892.0, 25536992.0, 25537040.0, 25536968.0]","[533.0, 0.0, 567.0, 176.0, 1424.0, 1004.0, 260.0, 216.0, 260.0, 256.0, 176.0, 1088.0, 928.0, 24.0, 72.0, 4.0]",6988.0,0.00037113640838053966,13263.125022825267
20200101080021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[21.408861, 16.519001, 12.536538, 0.539112, 2.73557, 0.756054, 0.459456, 2.776881, 7.625696, 13.146488, 39.13621, 37.327175, 68.99601, 79.13937, 87.71563, 80.12816]","[73.34863, 60.851536, 45.54984, 2.75378, 10.296182, 2.747418, 0.610882, 1.019684, 2.611958, 4.386608, 14.136784, 11.557554, 21.77911, 23.93086, 24.479553, 18.584394]","[804.0361, 628.6211, 372.8076, 73.95244, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 23.601843, 62.582947, 60.14663, 102.37616, 115.36986, 125.11514, 108.87302]","[-0.761351, -0.761351, -12.130839, 0.050756, -3.197668, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]","[25494924.0, 25505140.0, 25516598.0, 25537236.0, 25518869.0, 25538008.0, 25537880.0, 25537860.0, 25537480.0, 25537220.0, 25537468.0, 25537340.0, 25536984.0, 25536984.0, 25536996.0, 25536964.0]","[430.0, 49.0, 465.0, 172.0, 1916.0, 740.0, 904.0, 860.0, 516.0, 252.0, 428.0, 120.0, 20.0, 16.0, 28.0, 0.0]",6916.0,0.00036731244996562857,13238.116130461833
20200101090021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[30.515003, 21.323376, 15.318696, 0.860681, 3.052928, 0.854003, 0.457299, 2.776913, 7.631135, 13.162964, 39.236412, 37.37177, 69.16875, 79.33662, 87.910835, 80.25904]","[73.10124, 54.425648, 39.534637, 3.392246, 8.157664, 2.164587, 0.443608, 1.016985, 2.607039, 4.38149, 14.117554, 11.548409, 21.764996, 23.907326, 24.449383, 18.573603]","[768.3034, 628.6211, 372.8076, 71.51612, 95.06721, 29.286585, 4.923395, 6.547606, 15.480776, 23.601843, 62.582947, 60.14663, 102.37616, 115.36986, 125.11514, 108.87302]","[-0.761351, -0.761351, -0.761351, 0.050756, -2.385563, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]","[25494592.0, 25505453.0, 25516187.0, 25537504.0, 25517204.0, 25537340.0, 25537864.0, 25537884.0, 25537224.0, 25537872.0, 25537216.0, 25537252.0, 25536972.0, 25537880.0, 25537892.0, 25537860.0]","[98.0, 362.0, 54.0, 440.0, 251.0, 72.0, 888.0, 884.0, 260.0, 904.0, 176.0, 32.0, 8.0, 912.0, 924.0, 896.0]",7161.0,0.00038032453068303444,13457.076653660704
20200101100021,"[0.47, 0.64, 0.87, 1.38, 1.61, 2.25, 3.89, 6.17, 6.93, 7.34, 8.44, 9.61, 10.33, 11.19, 12.27, 13.27]","[41.4254, 27.081854, 18.96078, 1.196658, 3.432299, 0.969303, 0.468918, 2.779322, 7.643416, 13.192352, 39.459705, 37.510185, 69.52683, 79.72442, 88.28552, 80.49976]","[77.42464, 54.446667, 37.58005, 4.112767, 6.858979, 1.927596, 0.417605, 1.014673, 2.603702, 4.376264, 14.126998, 11.570436, 21.790577, 23.916954, 24.439766, 18.567877]","[804.0361, 628.6211, 372.8076, 69.0798, 95.06721, 15.480776, 2.487076, 6.547606, 16.292883, 23.601843, 62.582947, 59.33453, 102.37616, 116.18198, 125.927246, 108.87302]","[-0.761351, -4.009775, -2.385563, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 5.7355, 8.17182, 11.420244, 15.480776]","[25494530.0, 25505398.0, 25516179.0, 25537508.0, 25517086.0, 25537324.0, 25537860.0, 25537884.0, 25537224.0, 25537868.0, 25537216.0, 25537300.0, 25536964.0, 25537876.0, 25537892.0, 25537216.0]","[36.0, 307.0, 46.0, 444.0, 133.0, 56.0, 884.0, 884.0, 260.0, 900.0, 176.0, 80.0, 0.0, 908.0, 924.0, 252.0]",6290.0,0.00033406525596931804,13460.0406491713
