datetime,wavelengths,mean,std,max,min,nans,nans_norm,nans_sum,nans_perc,nans_std
20200101005743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.145686, 0.380202, 43.60943, 39.273663, 74.66128, 86.227394, 74.13391, 0.092515, 0.163317, 3.085736, 13.466486]","[1.265261, 0.228808, 15.045337, 11.810563, 22.23064, 23.991129, 16.058388, 0.855243, 1.486284, 1.061503, 4.36613]","[18.616121, 3.556224, 69.45589, 63.00031, 110.9243, 124.49424, 99.76517, 20.28078, 27.049498, 6.346719, 22.36212]","[0.0, 0.0, 2.408142, 8.316874, 6.561142, 10.004003, 16.075905, 0.0, 0.0, 0.207953, 0.733818]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101015744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.312408, 0.38829, 43.463512, 39.147575, 74.474686, 86.053375, 74.097374, 0.250677, 0.373251, 3.088662, 13.460734]","[1.779292, 0.242063, 14.968102, 11.730471, 22.121067, 23.867996, 15.974548, 1.485217, 2.19564, 1.059563, 4.344116]","[17.825924, 3.556224, 69.582634, 63.00031, 110.9243, 124.49424, 100.08038, 20.28078, 26.242464, 6.363354, 22.632471]","[0.0, 0.0, 2.281397, 8.316874, 5.946034, 9.114757, 15.445477, 0.0, 0.0, 0.191317, 0.695195]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101025743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.522724, 0.400351, 43.382404, 39.0486, 74.322655, 85.90442, 74.04024, 0.461483, 0.611725, 3.092174, 13.462241]","[2.026583, 0.248757, 14.886662, 11.633692, 21.981073, 23.707773, 15.86154, 1.760462, 2.366662, 1.057777, 4.320429]","[18.221022, 3.461099, 69.70937, 62.89635, 111.12933, 124.938866, 100.23799, 20.28078, 25.71372, 6.321765, 22.55523]","[0.0, 0.0, 2.281397, 8.420834, 6.356106, 10.004003, 16.075905, 0.0, 0.0, 0.191317, 0.656574]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101035743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.695465, 0.413608, 43.362305, 39.009678, 74.30057, 85.95942, 74.08708, 0.684887, 0.852925, 3.094546, 13.468701]","[2.044643, 0.266582, 14.8266, 11.558887, 21.882044, 23.605385, 15.779506, 1.947373, 2.459353, 1.056168, 4.298665]","[17.802683, 3.344022, 69.45589, 62.58447, 110.71926, 124.271935, 99.922775, 20.28078, 25.658062, 6.305128, 22.671095]","[0.0, 0.0, 2.154653, 8.524796, 6.15107, 9.33707, 15.445477, 0.0, 0.0, 0.191317, 0.695195]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101045744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.84302, 0.423126, 43.547703, 39.074238, 74.55227, 86.17989, 74.139725, 0.870022, 1.083746, 3.098024, 13.481478]","[1.833567, 0.247757, 14.893943, 11.560601, 21.955177, 23.645662, 15.738483, 1.908828, 2.382947, 1.055819, 4.284832]","[17.361101, 3.490368, 69.2024, 62.272587, 110.51423, 124.271935, 99.60757, 20.28078, 26.381607, 6.338401, 22.748339]","[0.0, 0.0, 2.154653, 8.420834, 6.15107, 9.33707, 15.603084, 0.0, 0.0, 0.182998, 0.695195]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101055743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.098808, 0.439569, 43.96078, 39.33938, 75.17073, 86.78386, 74.31172, 1.134392, 1.439481, 3.103114, 13.497372]","[1.808747, 0.238982, 15.084337, 11.700226, 22.22633, 23.893099, 15.786309, 1.994637, 2.497882, 1.057603, 4.280942]","[17.384342, 3.318411, 75.919846, 63.00031, 117.48544, 129.82971, 99.44996, 20.28078, 25.880692, 6.404946, 22.864206]","[0.0, 0.0, 2.281397, 8.316874, 6.356106, 9.559381, 16.233513, 0.0, 0.0, 0.216271, 0.811061]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101065743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.481619, 0.468187, 44.639984, 39.787704, 76.18354, 87.67153, 74.62554, 1.498209, 1.925875, 3.107893, 13.51368]","[1.98264, 0.250724, 15.469162, 12.022978, 22.803238, 24.42249, 15.973661, 2.198424, 2.761748, 1.061172, 4.290566]","[16.803314, 3.340363, 84.79195, 68.51024, 129.37752, 143.39069, 102.91731, 20.28078, 24.8232, 6.579626, 23.5594]","[0.0, 0.0, 2.408142, 8.316874, 6.561142, 9.33707, 16.075905, 0.0, 0.0, 0.191317, 0.733818]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101075744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.963704, 0.509856, 45.613323, 40.430172, 77.590416, 88.97309, 75.12247, 1.936632, 2.509466, 3.115838, 13.5572]","[2.241492, 0.279098, 16.01098, 12.508004, 23.617785, 25.207891, 16.279707, 2.421791, 3.046796, 1.066, 4.317528]","[17.407583, 3.380608, 93.41056, 74.12412, 142.49979, 156.28473, 107.645515, 20.28078, 26.409437, 6.845805, 24.254597]","[0.0, 0.0, 2.408142, 8.420834, 6.766176, 10.004003, 16.075905, 0.0, 0.0, 0.216271, 0.811061]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
20200101085743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.519226, 0.562283, 46.670994, 41.16344, 79.12629, 90.48291, 75.61157, 2.451819, 3.182064, 3.124918, 13.611869]","[2.522167, 0.318328, 16.64057, 13.074793, 24.572832, 26.156567, 16.622995, 2.604516, 3.288879, 1.070585, 4.354016]","[18.267504, 3.494027, 104.18383, 78.594444, 156.8523, 170.51265, 112.373726, 20.28078, 27.049498, 6.879078, 24.988415]","[0.0, 0.0, 2.281397, 8.316874, 6.356106, 9.781692, 16.075905, 0.0, 0.0, 0.232907, 0.77244]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565265.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0]",6.0,3.9586092044103345e-06,1.724878723728207
20200101095743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.14885, 0.622593, 47.627113, 41.795258, 80.48502, 91.79888, 76.11561, 3.065988, 3.976467, 3.1309, 13.657381]","[2.78317, 0.357966, 17.279991, 13.611442, 25.530598, 27.106176, 16.972744, 2.761256, 3.503058, 1.073217, 4.390642]","[16.431458, 3.329387, 111.78849, 82.9608, 167.71918, 179.84972, 116.15629, 19.65483, 23.515253, 6.91235, 25.4905]","[0.0, 0.0, 2.281397, 8.524796, 6.766176, 10.448625, 16.706333, 0.0, 0.0, 0.241225, 0.733818]","[3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0, 3565259.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
